item_number,appliance_type,applicance_sub_type,brand,model_id,omni_item_id,description,price,product_image_gcs_uri
RS65DG54R3S9,refrigerator,side by side,samsung,m-RS65DG54R3S9,RS65DG54R3S9-EF,Samsung Series 7 SpaceMax™ RS65DG54R3S9 American Style Smart Fridge Freezer - Refined Inox,1199,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/RS65DG54R3S9.jpg"
RS65DG54R3S9,refrigerator,side by side,samsung,m-RS65DG54R3S9,RS65DG54R3S9-EU,Samsung Series 7 SpaceMax™ RS65DG54R3S9 American Style Smart Fridge Freezer - Refined Inox,1199,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/RS65DG54R3S9.jpg"
RS66DG813CS9EU,refrigerator,side by side,samsung,m-RS66DG813CS9EU,RS66DG813CS9EU,"Samrung RS66 Side-by-Side In-Door Ice Maker - All-Around Cooling - 28 cu.ft.",1199,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/RS66DG813CS9EU.jpg"
LRSWS2806S,refrigerator,side by side,lg,m-LRSWS2806S,LRSWS2806S,28 cu. ft. Capacity Side-by-Side Refrigerator with External Water Dispenser,1554,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/LRSWS2806S.jpg"
LRSXC2306,refrigerator,side by side,lg,m-LRSXC2306V,LRSXC2306S,23 cu. ft. Side-by-Side Counter-Depth Refrigerator with Smooth Touch Dispenser,1649,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/LRSXC2306.jpg"
LRSXC2306,refrigerator,side by side,lg,m-LRSXC2306V,LRSXC2306V,23 cu. ft. Side-by-Side Counter-Depth Refrigerator with Smooth Touch Dispenser,1649,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/LRSXC2306.jpg"
LRSXS2706,refrigerator,side by side,lg,m-LRSXS2706,LRSXS2706S,27 cu. ft. Side-by-Side Refrigerator with Smooth Touch Ice Dispenser,1721,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/LRSXS2706.jpg"
LRSXS2706,refrigerator,side by side,lg,m-LRSXS2706,LRSXS2706W,28 cu. ft. Side-by-Side Refrigerator with Smooth Touch Ice Dispenser,1721,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/LRSXS2706.jpg"
LRSXS2706,refrigerator,side by side,lg,m-LRSXS2706,LRSXS2706V,29 cu. ft. Side-by-Side Refrigerator with Smooth Touch Ice Dispenser,1721,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/LRSXS2706.jpg"
LRSXS2706,refrigerator,side by side,lg,m-LRSXS2706,LRSXS2706B,30 cu. ft. Side-by-Side Refrigerator with Smooth Touch Ice Dispenser,1721,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/LRSXS2706.jpg"
LRSOS2706,refrigerator,side by side,lg,m-LRSOS2706,LRSOS2706D,31 cu. ft. Side-by-Side Refrigerator with Smooth Touch Ice Dispenser,1721,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/LRSOS2706.jpg"
LRSOS2706,refrigerator,side by side,lg,m-LRSOS2706,LRSOS2706S,32 cu. ft. Side-by-Side Refrigerator with Smooth Touch Ice Dispenser,1721,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/LRSOS2706.jpg"
GRSS2652AF,refrigerator,side by side,frigidaire,m-GRSS2652AF,GRSS2652AF,"Frigidaire Gallery 26 Cu. Ft. 36 Standard-Depth Side-by-Side Refrigerator",1298,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/GRSS2652AF.jpg"
GRSC2352AF,refrigerator,side by side,frigidaire,m-GRSC2352AF,GRSC2352AF,"Frigidaire Gallery 26 Cu. Ft. 36 Standard-Depth Side-by-Side Refrigerator",1298,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/GRSC2352AF.jpg"
FRFN2813AF,refrigerator,french door,frigidaire,m-FRFN2813AF,FRFN2813AF,Frigidaire 29 Cu. Ft. Standard-Depth French Door Refrigerator,1398,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/FRFN2813AF.jpg"
GRFN2023AF,refrigerator,french door,frigidaire,m-GRFN2023AF,GRFN2023AF,Frigidaire Gallery 20 Cu. Ft. Standard-Depth French Door Refrigerator,1448,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/GRFN2023AF.jpg"
LRYKC2606,refrigerator,french door,lg,m-LRYKC2606,LRYKC2606S,26 cu. ft. Counter-Depth French Door Refrigerator - Stainless Steel,3099,"gs://rscw-workshop-fridge-stage-PROJECT_NUMBER/unstructured-data/fridge_images/LRYKC2606.jpg"
