table_name,column_name,column_description
customer_master,address,Physical address of the customer.
customer_master,city,City where the customer is located.
customer_master,customer_id,Unique identifier for each customer.
customer_master,phone_nbr,Phone number of the customer.
customer_master,last_nm,Last name of the customer.
customer_master,state_cd,State code of the customer's location.
customer_master,zip_cd,Zip code of the customer's location.
customer_master,email,Email address of the customer.
customer_master,first_nm,First name of the customer.
customer_master,country_cd,Country code of the customer's location.
location_master,city,City where the location is situated.
location_master,country_cd,Country code of the location.
location_master,location_type,Type of the location.
location_master,location_id,Unique identifier for the location.
location_master,state_cd,State code of the location.
location_master,zip_cd,Zip code of the location.
location_master,phone_nbr,Phone number of the location.
location_master,address,Physical address of the location.
location_master,location_nm,Name of the location.
pos_transaction_items,quantity,Number of units of the item sold in the transaction.
pos_transaction_items,product_id,Unique identifier for the product.
pos_transaction_items,supplier_id,Unique identifier for the supplier of the product.
pos_transaction_items,transaction_item_id,Unique identifier for the item within the transaction.
pos_transaction_items,line_item_total,Total value of the line item in the transaction.
pos_transaction_items,price,Price of the individual item.
pos_transaction_items,transaction_id,Unique identifier for the transaction.
pos_transactions,payment_total_dollar,The total dollar amount of the payment for the transaction.
pos_transactions,payment_type,The method of payment used for the transaction.
pos_transactions,transaction_id,Unique identifier for the transaction.
pos_transactions,customer_id,Unique identifier for the customer involved in the transaction.
pos_transactions,location_id,Identifier for the store or location where the transaction took place.
pos_transactions,transaction_dt,The date and time when the transaction occurred.
pos_transactions,transaction_status,The current status of the transaction.
product_master,price_dollar,Price of the product in dollars.
product_master,product_nm,Name of the product.
product_master,width_cm,Width of the product in centimeters.
product_master,product_id,Unique identifier for the product.
product_master,length_cm,Length of the product in centimeters.
product_master,category_nm,Name of the product category.
product_master,weight_g,Weight of the product in grams.
product_master,safety_qty,Safety stock quantity for the product.
product_master,category_id,Unique identifier for the product category.
product_master,height_cm,Height of the product in centimeters.
product_suppliers,supplier_type,"Categorization of the supplier, indicating its role."
product_suppliers,product_id,Unique identifier for a product.
product_suppliers,supplier_id,Unique identifier for a supplier.
supplier_master,city,City where the supplier is located.
supplier_master,address,Physical address of the supplier.
supplier_master,contact_nm,Name of the supplier's contact person.
supplier_master,zip_cd,Zip code of the supplier's location.
supplier_master,country_cd,Country code of the supplier's location.
supplier_master,supplier_id,Unique identifier for the supplier.
supplier_master,state_cd,State code of the supplier's location.
supplier_master,phone_nbr,Phone number of the supplier.
supplier_master,supplier_nm,Name of the supplier.
supplier_master,contact_email,Email address of the supplier's contact person.
