table_1,table_1_column,table_2,table_2_column,join_type
customer_master,customer_id,pos_transactions,customer_id,JOIN
driver_master,driver_id,stock_transfers,driver_id,JOIN
location_master,location_id,stock_allocation_master,location_id,JOIN
location_master,location_id,stock_movement,location_id,JOIN
location_master,location_id,stock_master,location_id,JOIN
location_master,location_id,sales_forecast,location_id,JOIN
location_master,location_id,pos_transactions,location_id,JOIN
location_master,location_id,stock_transfers,origin_loc_id,JOIN
location_master,location_id,stock_transfers,destination_loc_id,JOIN
product_master,product_id,product_suppliers,product_id,JOIN
product_master,product_id,stock_transfer_items,product_id,JOIN
product_master,product_id,stock_movement,product_id,JOIN
product_master,product_id,stock_allocation_master,product_id,JOIN
product_master,product_id,stock_thresholds,product_id,JOIN
product_master,product_id,pos_transaction_items,product_id,JOIN
product_master,product_id,sales_forecast,product_id,JOIN
product_master,product_id,stock_master,product_id,JOIN
product_master,product_id,stock_purchase_orders,product_id,JOIN
product_suppliers,product_id,stock_purchase_orders,product_id,JOIN
stock_movement,stock_purchase_order_id,stock_purchase_orders,stock_purchase_order_id,JOIN
stock_transfers,stock_transfer_id,stock_transfer_items,stock_transfer_id,JOIN
supplier_master,supplier_id,stock_purchase_orders,supplier_id,JOIN
supplier_master,supplier_id,stock_thresholds,supplier_id,JOIN
product_suppliers,supplier_id,supplier_master,supplier_id,JOIN
pos_transaction_items,supplier_id,product_suppliers,supplier_id,JOIN
pos_transaction_items,transaction_id,pos_transactions,transaction_id,JOIN
fleet_master,vehicle_id,stock_transfers,vehicle_id,JOIN
